id,style,situation,recipe,model,mode,preset,enhance,contrast,aspect,negative,seed,best_of_4,score_1_10,fail_tag,note
C01-R1,style-04-photoreal-film-still,Establish the world,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C01-R1,style-04-photoreal-film-still,Establish the world,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C01-R2,style-04-photoreal-film-still,Establish the world,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C01-R2,style-04-photoreal-film-still,Establish the world,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C02-R1,style-04-photoreal-film-still,Reveal scale,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C02-R1,style-04-photoreal-film-still,Reveal scale,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C02-R2,style-04-photoreal-film-still,Reveal scale,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C02-R2,style-04-photoreal-film-still,Reveal scale,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C10-R1,style-04-photoreal-film-still,"Hero intro, detail first",R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C10-R1,style-04-photoreal-film-still,"Hero intro, detail first",R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C10-R2,style-04-photoreal-film-still,"Hero intro, detail first",R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C10-R2,style-04-photoreal-film-still,"Hero intro, detail first",R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C11-R1,style-04-photoreal-film-still,"Hero intro, silhouette",R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C11-R1,style-04-photoreal-film-still,"Hero intro, silhouette",R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C11-R2,style-04-photoreal-film-still,"Hero intro, silhouette",R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C11-R2,style-04-photoreal-film-still,"Hero intro, silhouette",R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C12-R1,style-04-photoreal-film-still,Hero wakes,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C12-R1,style-04-photoreal-film-still,Hero wakes,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C12-R2,style-04-photoreal-film-still,Hero wakes,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C12-R2,style-04-photoreal-film-still,Hero wakes,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C13-R1,style-04-photoreal-film-still,Armour-up,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C13-R1,style-04-photoreal-film-still,Armour-up,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C13-R2,style-04-photoreal-film-still,Armour-up,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C13-R2,style-04-photoreal-film-still,Armour-up,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C14-R1,style-04-photoreal-film-still,Tool reveal,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C14-R1,style-04-photoreal-film-still,Tool reveal,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C14-R2,style-04-photoreal-film-still,Tool reveal,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C14-R2,style-04-photoreal-film-still,Tool reveal,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C15-R1,style-04-photoreal-film-still,Antagonist intro (the keeper),R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C15-R1,style-04-photoreal-film-still,Antagonist intro (the keeper),R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C15-R2,style-04-photoreal-film-still,Antagonist intro,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C15-R2,style-04-photoreal-film-still,Antagonist intro,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C17-R1,style-04-photoreal-film-still,Intimacy,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C17-R1,style-04-photoreal-film-still,Intimacy,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C17-R2,style-04-photoreal-film-still,Intimacy,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C17-R2,style-04-photoreal-film-still,Intimacy,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C18-R1,style-04-photoreal-film-still,Isolation,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C18-R1,style-04-photoreal-film-still,Isolation,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C18-R2,style-04-photoreal-film-still,Isolation,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
